"","track.id","track.name","track.artist","track.popularity","track.album.id","track.album.name","track.album.release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"475","4Y4OfXxEfQ0NJPzMl09A9X","Bones","August Burns Red",0,"1CGuCTCgIZnHf0l3VoJlDR","Bones","2020-02-27","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.264,0.947,6,-5.372,1,0.126,3.54e-05,0.0366,0.26,0.369,180.096,255493
"197","4JlCtE5lFoJk5SNopehX7q","Perdition Haze","Disarmonia Mundi",35,"3ybcHvvgGqfc9lseIVO3KU","The Isolation Game","2009-12-09","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.391,0.983,11,-3.536,0,0.0779,7.94e-06,0.000265,0.253,0.17,144.035,260293
"209","7izrY0WSNgUt3kezTgMRwp","Parting Ways","Disarmonia Mundi",21,"2NdcTga3P6BbOtR2dnmdL7","Mind Tricks (Extended Version)","2006","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.436,0.995,7,-2.888,1,0.133,8.99e-06,0.867,0.086,0.183,123.585,241413
"286","2QqTzlPUkhz9bQDWXXiHR1","Enciphered III","Divine Disorder",8,"01f26cqA6rP4x4YQ43phM9","Garden of Dystopia","2014-11-03","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.239,0.934,0,-5.172,0,0.0763,4.77e-05,0.41,0.11,0.401,95.073,339907
"353","4SlFMlB9eD0Y48RXVp1ixR","Escape (Remastered)","Metallica",47,"2omIeSJEGQeKHPOpiXgfkr","Ride The Lightning (Deluxe Remaster)","1984-07-27","This Is Metallica","37i9dQZF1DXbj9Ksq4BAdj","music","metal",0.267,0.937,9,-5.841,1,0.101,0.00134,0.471,0.175,0.526,144.126,263867
"520","2tkc4hB4MCYuEqvLCGcAWc","Dust","Outline In Color",26,"6Fa7wxHRyK9SEfyqJGmuRm","Outline in Color","2019-02-08","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.269,0.955,8,-2.896,1,0.0748,0.000245,1.49e-05,0.0897,0.71,150.381,227763
"430","2u95xNbP7t1sqLqDJWHcD2","Lock Me Up","Sullivan King",52,"45soPQg7CQgBOWHgTBvIFf","LOUD","2021-06-25","Kickass Metal","37i9dQZF1DWTcqUzwhNmKv","music","metal",0.425,0.944,9,-4.707,1,0.0815,0.000342,0.000163,0.288,0.414,95.029,159125
"140","4jd6N8Rdu4GdfUi5v6KfZ2","I Dreamed I Died","DevilDriver",38,"3RewL4TyyrzZOiB0phpKRR","DevilDriver","2003-10-20","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.556,0.99,7,-4.601,1,0.0765,4.38e-05,0.000134,0.143,0.316,127.089,209600
"351","5IpHNGT95ldM7zqYvvCi04","Broken, Beat & Scarred","Metallica",0,"3wAdN3V06Btox7NjFfBKRC","Death Magnetic","2008-09-12","This Is Metallica","37i9dQZF1DXbj9Ksq4BAdj","music","metal",0.323,0.982,4,-1.459,1,0.0869,4.9e-05,0.00415,0.237,0.48,121.895,385467
"95","2nGcS04iRcE4IcKM1WPVlt","Needled 24 / 7","Children Of Bodom",49,"5sioP3tQQqCJNfaasEshLW","Hate Crew Deathroll","2003","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.425,0.926,2,-4.177,0,0.0511,2.4e-06,0.733,0.261,0.465,96.051,248600
"362","4hOohf45f0JtxYKNsEAIOV","For Whom The Bell Tolls","Metallica",0,"7a1dlwArQK6OCHkr2SNlZR","Ride The Lightning","1984-07-27","Metallica Greatest Hits","6036Dh6a3Igwx6JMldP5tV","music","metal",0.519,0.861,0,-6.67,1,0.0758,0.0173,0.00312,0.06,0.213,117.846,309933
"498","12vkme9IgoXduPrO5M6egn","Exit Wounds","Bad Omens",43,"44MsvFBCmQaIozNrcJe2XQ","Bad Omens","2016-08-19","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.336,0.991,5,-2.114,0,0.133,9.35e-06,1.32e-06,0.603,0.226,189.926,206290
"468","6lHtGRjsKMeLwUMXzRmeJW","Violent Bounce [People Like ¥øµ]","I See Stars",40,"0ofEcqNFO5GCb9mYwGbOXL","New Demons","2013-10-22","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.307,0.981,9,-2.964,0,0.281,0.000481,2.83e-05,0.126,0.165,83.889,279947
"499","3oNSGPJO6MDlMuN61p1wN4","Are You Coming With Me?","Crown The Empire",37,"3DyqJmc1Mged8dW8uo3vMe","Retrograde","2016-07-22","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.461,0.934,5,-5.27,0,0.0716,0.000143,2.41e-05,0.0441,0.499,147.885,229693
"101","5ZKb7ts6zcjZkkbupIOStT","End Of The Line","DevilDriver",43,"0CrQfayIQmC7V4Yhhvbm1d","The Fury Of Our Maker's Hand [Special Edition]","2005","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.524,0.987,9,-4.494,1,0.0716,0.00377,0.00314,0.0324,0.179,92.489,302307
"496","1PInWkBARsxLyouDqa2GtF","Can You Feel My Heart","Bring Me The Horizon",64,"4dhfdOEUI4tfqwdgouFTQA","Sempiternal (Deluxe Edition)","2013-04-02","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.235,0.86,4,-2.842,0,0.0561,0.00272,0.0969,0.388,0.342,127.788,227296
"104","3y2p2XXpgw5QHxKmokQEHQ","To the Threshold","Hatebreed",44,"3EYFN0Qx0TMeJwSVgWO1ky","Supremacy","2006-07-27","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.56,0.985,8,-3.711,1,0.109,0.000408,0.015,0.11,0.419,144.968,169547
"313","0wmjY0IiSvwFYSJ0PWpDwz","Until It Sleeps","Metallica",0,"2MD9zkmkFbrVyWy23nnAZQ","Load","1996-06-04","This Is Metallica","37i9dQZF1DXbj9Ksq4BAdj","music","metal",0.562,0.919,8,-4.458,0,0.0293,0.000223,0.113,0.142,0.728,113.357,269573
"226","5suOjGcwr3q8RwHJfJ2le6","The Battle of the Maginot Sphere","Shadow of Intent",33,"1WUMBHoxiaVlYPkZm0fJyj","Primordial","2016-01-10","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.411,0.981,10,-4.782,0,0.2,0.00022,0.834,0.173,0.0578,125.05,244460
"480","1dEkedqKwGjnCCMz1B5x86","It's Only Smiles","Periphery",0,"3WXa8NfBw2ef4oDhGmhv9h","Periphery IV: HAIL STAN","2019-04-05","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.187,0.933,3,-5.889,1,0.125,0.00104,3.73e-05,0.158,0.353,84.92,333000
"138","7zFfiVC2uZZMbCLw48kZYQ","Defeatist","Hatebreed",40,"3EYFN0Qx0TMeJwSVgWO1ky","Supremacy","2006-07-27","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.274,0.974,0,-4.151,1,0.211,0.00235,0,0.0818,0.485,164.819,199413
"184","7DuRbuweGD2cpGN74cpPAF","Stone the Crow","DOWN",56,"04BvRPJwuDeuJ3DhbAw9Wg","Nola","1995-08-29","Metal Essentials","37i9dQZF1DWWOaP4H0w5b0","music","metal",0.444,0.911,11,-6.117,0,0.0398,0.0139,0.00955,0.0868,0.556,106.437,282507
"344","52m8IrzripYje6bVxUILQU","Hit The Lights (Remastered)","Metallica",44,"7GttoSWxEi5lZvIWeSrh6n","Kill 'Em All (Deluxe Remaster)","1983-07-25","This Is Metallica","37i9dQZF1DXbj9Ksq4BAdj","music","metal",0.249,0.97,4,-5.535,0,0.21,4.3e-05,0.224,0.138,0.287,160.687,255867
"214","5X5E0W2hePPZePH9x3zQBy","Morgue of Centuries","Disarmonia Mundi",19,"2vaELMUL9ESzFBDjLu8a8t","Fragments Of D-Generation","2004","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.413,0.991,11,-1.27,0,0.0983,3.38e-05,0.952,0.646,0.134,116.057,258133
"254","0pLT6Eia1abvy3xNpOA8iI","Blood Like Gasoline","The Stranded",25,"31QWZQRtFvsdc5R8lU07cu","Survivalism Boulevard","2012-07-02","Metal","1guEpZ6NKRPsvmSwWtEtbU","music","metal",0.34,0.953,6,-4.852,1,0.0791,4.22e-06,0.537,0.197,0.422,170.139,219000
"90","2T2vudIHfVMA5ychWTU3KA","Are You Dead Yet?","Children Of Bodom",60,"4JtmC1dly1OaggJbhdYAyZ","Are You Dead Yet?","2005-01-01","METAL WORKOUT MUSIC","4WZS2CWrUd86DUDJnsdXEq","music","metal",0.461,0.961,8,-3.011,1,0.0479,6.39e-06,0.14,0.308,0.416,96.009,234880
"518","3ZxtJxj45lSs29dZjncz6M","Awkward","Dance Gavin Dance",48,"75Z98z7kl42oWcT0UvtO6e","Instant Gratification","2015-04-10","METALCORE","79QHayucQm6M4wUlUbhQNQ","music","metal",0.444,0.953,1,-2.999,0,0.111,0.075,1.31e-05,0.0669,0.511,140.981,241440
"379","7BQd7bXMRvyXyoLFpxz0hb","Balboa","Blind Channel",54,"2lhbyagwH1TXiCgzl9JXKs","Balboa","2021-08-12","Kickass Metal","37i9dQZF1DWTcqUzwhNmKv","music","metal",0.38,0.899,7,-3.554,1,0.165,0.00256,0,0.0626,0.406,82.828,192489
"423","15m6rXSYVBSVlLJzlikqkR","Rescue","Times Of Grace",48,"6ygbIiiYQAqY83z00ClZJW","Rescue","2021-07-04","Kickass Metal","37i9dQZF1DWTcqUzwhNmKv","music","metal",0.417,0.933,2,-5.3,0,0.0582,0.00142,0.414,0.153,0.157,146.075,222067
"422","2X5SHv5ubRTNIgMxxCPYdo","Ceremony","Deftones",54,"0VEFy5MsBiq0u2lWL0OwOd","Ohms","2020-09-25","Kickass Metal","37i9dQZF1DWTcqUzwhNmKv","music","metal",0.281,0.665,4,-5.003,1,0.0651,0.000792,0.0841,0.109,0.195,147.122,207752
"371","7dkoYHTW9WZU8N3lRg4fGA","Coup D'etat","Celestial Navigation",29,"622h5c9zF6iA70rjjBxWMz","Coup D'etat","2021-07-14","PoP","5FaXjpzV6zj0L0CJHyhk2r","music","pop",0.634,0.59,10,-9.753,0,0.0413,0.356,0.35,0.116,0.255,113.862,273199
"179","4ka1FkKAMde6dQAFFMXKac","i hope ur miserable until ur dead","Nessa Barrett",77,"3dv1xXXFHlv3WNSNsSZ93d","i hope ur miserable until ur dead","2021-08-06","Pop Rising","37i9dQZF1DWUa8ZRTfalHk","music","pop",0.708,0.555,2,-6.242,1,0.0306,0.0345,0,0.105,0.486,115.993,176447
"6","3HgvO4B5LLmdPOT2d8cSZd","Mónaco","LAGOS",81,"0t8H6Wc8P63LO0zj7kwZuj","Clásicos","2021-05-28","Pop Latino","37i9dQZF1DWSpF87bP6JSF","music","pop",0.699,0.654,11,-6.264,1,0.0383,0.054,7.08e-06,0.095,0.319,100.037,192313
"283","2DbQpyXOWGsKW2R9zSvFq9","Genesis","Jack & James",50,"4xbweuq0ljesUudzwQFNTD","Genesis","2021-05-21","Pop Hits 2000s - 2021","6mtYuOxzl58vSGnEDtZ9uB","music","pop",0.639,0.868,6,-5.613,0,0.0833,0.0159,0.255,0.249,0.123,128.096,154687
"445","4bPQs0PHn4xbipzdPfn6du","I Write Sins Not Tragedies","Panic! At The Disco",74,"2YeOhhJg3OWpN0F1VYPxtW","A Fever You Can't Sweat Out","2005-09-27","Pop Punk Powerhouses","37i9dQZF1DXa9wYJr1oMFq","music","pop",0.569,0.83,9,-4.106,0,0.14,0.0807,0,0.114,0.609,170.094,186635
"3131","5E5MqaS6eOsbaJibl3YeMZ","Homesick","Dua Lipa",66,"01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","2017-06-02","Pop Hits 2000s - 2021","6mtYuOxzl58vSGnEDtZ9uB","music","pop",0.426,0.224,6,-8.683,1,0.0391,0.948,0,0.112,0.399,85.728,230480
"129","6YvqWjhGD8mB5QXcbcUKtx","Love Story (Taylor’s Version)","Taylor Swift",73,"4hDok0OAJd57SGIT8xuWJH","Fearless (Taylor's Version)","2021-04-09","Pop Hits 2021","5TDtuKDbOhrfW7C58XnriZ","music","pop",0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,235767
"76","2CIYemjFXdmCWpJnfbtrD6","New Normal","Khalid",79,"3icfuNPdPHFm1FS8WdBvRk","New Normal","2021-07-21","Pop Mix","37i9dQZF1EQncLwOalG3K7","music","pop",0.39,0.534,0,-9.575,1,0.0709,0.0807,0,0.184,0.244,92.047,198765
"372","77AZys0kjDWHdymJgXcb3v","Don't Play With Me","Mareya",25,"6OtoQvkhDarb30tPopOzDp","Don't Play With Me","2021-07-30","PoP","5FaXjpzV6zj0L0CJHyhk2r","music","pop",0.759,0.586,10,-12.173,0,0.159,0.386,0,0.0768,0.506,130.001,193962
